University Name,Rank,中文名字,SAT Reading,SAT Math,SAT Writing,ACT,TOEFL
Auburn University,91,奥本大学,530-630,550-650,520-610,24-30,Min 79
Colorado School of Mines,91,科罗拉多矿业学院,570-670,630-720,550-650,27-31,"Min 79, A 85"
Florida State University,91,佛罗里达州立大学,560-640,560-640,560-640,25-29,Min 80
University of Denver,91,丹佛大学,550-640,560-660,530-640,25-30,"Min 70, A 83"
University of San Diego,91,圣地亚哥大学,550-650,570-670,560-660,25-30,Min 80
University of Massachusetts--Amherst,91,马萨诸塞大学阿默斯特分校 ,530-630,560-660,,24-28,Min 80
Binghamton University--SUNY,97,纽约州立大学宾汉姆顿分校,590-680,630-710,580-670,27-30,"Min 83, A 90"
Drexel University,97,德雷赛尔大学,540-640,580-680,530-640,24-29,Min 79
University of Missouri,97,密苏里大学,510-640,530-650,,23-28,Min 61
St. Louis University,101,圣路易斯大学,,,,,
